"rid","proc1","proc2","proc3","proc4","proc5","w1commitnum","w1commithrs","w1commitoverw","w1freetime","gendermale","genderfemal","gendernonbinary","gendernoid"
166568649,2,2,2,2,2,7,15,4,3,0,1,0,0
166568651,2,4,3,2,3,8,29,3,2,0,1,0,0
166568658,1,1,4,1,1,4,28,3,2,1,0,0,0
166568718,2,2,3,2,3,10,28,4,3,0,1,0,0
166568786,2,2,2,2,2,2,10,4,3,0,1,0,0
166568847,1,2,3,2,1,2,45,3,3,0,1,0,0
166568943,1,1,1,1,1,8,6,5,2,0,1,0,0
166568972,2,1,2,2,2,4,50,4,2,0,0,1,0
166568973,2,2,3,1,2,3,8,2,3,0,1,0,0
166569131,4,4,2,2,4,11,60,5,2,0,1,0,0
166569496,1,1,1,1,1,2,10,3,3,0,1,0,0
166569514,1,5,3,2,1,3,36,3,2,0,1,0,0
166570313,1,1,4,3,1,7,60,3,2,0,1,0,0
166570481,1,2,2,1,1,4,10,3,3,0,1,0,0
166570487,3,3,5,4,3,17,48,5,2,0,1,0,0
166570998,2,4,4,1,1,4,24,4,2,0,1,0,0
166571073,4,4,4,4,3,10,40,3,3,0,1,0,0
166571644,1,1,2,1,1,5,27,4,2,0,1,0,0
166572327,2,4,5,2,1,3,25,5,3,0,1,0,0
166572622,1,2,3,2,1,4,50,3,2,0,1,0,0
166572755,4,3,1,4,4,4,60,3,2,0,1,0,0
166575840,3,5,5,5,5,2,28,3,3,0,1,0,0
166575886,1,1,4,1,1,1,2,3,3,1,0,0,0
166577507,3,3,3,4,4,2,16,2,3,0,1,0,0
166578693,5,5,4,4,4,3,55,3,2,0,1,0,0
166578760,4,3,3,3,4,2,44,3,3,0,1,0,0
166579099,4,4,3,2,2,3,24,3,3,0,1,0,0
166579346,1,1,3,1,1,5,17,4,3,0,1,0,0
166579496,4,4,5,4,5,2,15,3,3,0,1,0,0
166580216,1,1,1,1,1,3,55,4,2,1,0,0,0
166580291,1,2,4,1,1,5,49,4,2,0,1,0,0
166580579,2,2,3,2,2,2,30,2,3,0,1,0,0
166580682,3,3,4,3,4,4,40,4,2,0,1,0,0
166581043,1,3,3,1,2,7,42,2,2,1,0,0,0
166581333,1,3,2,4,4,6,19,3,2,1,0,0,0
166581334,3,3,4,4,4,4,32,3,3,0,1,0,0
166583580,2,2,3,2,3,5,20,3,4,1,0,0,0
166583624,2,1,4,1,1,3,23,4,2,0,1,0,0
166584371,4,4,3,5,5,3,22,4,2,0,1,0,0
166584387,2,3,4,2,2,3,30,3,3,0,1,0,0
166584501,1,3,4,1,2,5,25,4,2,1,0,0,0
166584546,4,3,3,2,2,3,20,2,3,1,0,0,0
166585088,3,5,5,3,3,5,12,4,3,0,1,0,0
166585283,4,4,4,3,4,0,9,1,4,0,1,0,0
166585473,5,4,4,1,5,1,36,3,3,0,1,0,0
166585575,4,5,5,4,5,3,40,2,3,0,1,1,0
166586171,3,2,3,2,2,3,16,3,2,0,1,0,0
166587241,3,1,3,3,2,4,15,3,3,0,1,0,0
166630975,1,1,1,1,1,4,44,4,2,0,1,0,0
166634560,4,4,4,5,4,10,70,3,2,1,0,0,0
166643074,2,2,4,3,2,2,20,1,2,0,1,0,0
166643791,1,1,4,1,1,6,21,3,2,0,1,0,0
166647306,3,3,4,2,3,16,4,3,3,1,0,0,0
166649099,3,3,4,2,2,2,5,2,3,0,1,0,0
166650143,5,5,5,5,5,5,80,3,2,0,1,0,0
166651483,2,2,4,2,2,3,10,4,2,0,1,0,0
166652389,2,2,4,3,2,5,20,5,2,0,1,0,0
166652909,2,2,3,2,1,4,9,3,2,0,1,0,0
166653682,2,2,5,2,1,3,50,4,2,0,1,0,0
166655198,2,2,5,4,2,3,32,4,2,0,1,0,0
166656825,3,3,3,3,3,3,5,3,2,0,1,0,0
166660807,3,2,3,3,3,3,20,4,2,0,1,0,0
166661099,3,3,3,4,4,9,54,4,3,0,1,0,0
166665189,1,2,4,1,1,4,25,2,3,0,1,0,0
166667423,2,1,1,1,1,3,7,1,4,0,1,0,0
166667477,2,3,4,2,2,4,20,3,3,0,1,0,0
166670269,2,2,3,2,2,5,20,4,2,0,1,0,0
166670605,1,1,1,1,1,5,2,3,2,0,1,0,0
166679616,1,1,4,1,1,3,27,2,3,1,0,0,0
166681492,1,1,3,1,1,6,40,3,3,0,1,0,0
166683845,3,2,4,4,3,3,9,3,3,0,1,0,0
166684615,1,1,3,1,1,0,0,1,3,0,1,0,0
166687285,4,5,4,4,4,1,10,2,3,0,1,0,0
166687563,1,1,1,1,1,4,15,2,3,0,1,0,0
166687717,2,2,4,2,2,6,32,3,3,0,1,0,0
166688276,4,5,3,3,5,1,10,2,4,1,0,0,0
166688298,4,3,5,3,4,6,17,5,3,0,1,0,0
166689847,3,2,2,2,3,7,15,2,3,0,1,0,0
166692811,3,1,4,3,4,8,4,3,2,0,1,0,0
166694999,3,3,4,3,3,2,38,2,2,1,0,0,0
166700303,2,2,3,1,2,5,40,4,2,0,1,0,0
166707449,3,4,2,3,4,3,14,3,3,0,1,0,0
166708096,1,2,2,2,1,10,80,4,2,0,1,0,0
166709363,3,2,3,2,2,3,45,4,2,0,1,0,0
166709806,2,3,3,3,2,2,20,3,3,0,1,0,0
166709931,2,4,4,4,2,9,25,4,2,0,1,0,0
166710678,3,3,3,1,3,4,40,3,3,0,1,0,0
166714414,5,4,4,5,1,2,20,3,3,1,0,0,0
166714892,2,4,4,2,2,5,40,3,3,0,1,0,0
166715031,5,5,5,4,5,3,33,4,2,0,1,0,0
166715805,4,4,4,4,4,0,0,1,2,0,1,0,0
166718738,2,2,4,3,2,4,44,5,2,0,1,0,0
166719948,1,2,3,1,1,2,10,5,2,0,1,0,0
166763423,3,3,3,3,3,4,11,4,3,1,0,0,0
166765691,4,5,4,2,4,2,5,5,3,0,1,0,0
166767425,1,3,4,1,1,6,35,4,3,0,1,0,0
166771258,3,4,4,3,3,3,10,3,3,0,1,0,0
166774080,4,4,3,3,2,4,24,3,2,1,0,0,0
166774701,1,1,1,1,1,5,80,3,2,0,1,0,0
166775423,5,5,4,4,4,5,48,4,3,0,1,0,0
166782894,4,4,5,4,4,2,0,1,4,0,1,0,0
166783536,5,4,5,5,5,16,30,5,3,0,1,0,0
166784178,2,2,3,2,2,1,50,3,2,0,1,0,0
166784380,1,1,2,1,1,2,8,3,2,0,1,0,0
166787905,3,2,3,2,2,10,50,2,3,0,1,0,0
166791226,4,3,3,4,4,5,30,3,2,1,1,0,0
166793650,3,2,4,3,3,10,35,3,3,1,0,0,0
166794534,4,3,3,2,2,7,8,4,3,0,1,0,0
166794760,2,2,4,2,2,3,20,4,2,0,1,0,0
166795049,4,4,4,4,4,5,36,3,3,0,1,0,0
166795957,5,4,4,3,5,3,55,3,3,0,1,0,0
166796086,2,2,4,2,2,3,5,2,3,0,1,0,0
166798037,4,4,5,3,4,6,30,4,2,0,1,0,0
166798532,4,3,3,4,4,6,16,4,2,0,1,0,0
166803146,4,2,4,3,1,12,49,4,2,0,1,0,0
166820069,2,4,5,3,3,2,16,3,4,0,1,0,0
166820823,4,4,4,3,3,3,2,3,3,0,1,0,0
166820880,4,3,4,4,4,4,25,3,3,1,0,0,0
166829627,3,3,3,3,3,2,9,3,3,1,0,0,0
166830877,2,4,4,2,2,3,20,3,2,0,1,0,0
166832658,4,4,4,3,3,1,30,3,3,0,1,0,0
166833261,2,3,4,2,3,11,24,2,2,1,0,0,0
166838981,3,2,5,4,4,5,30,4,2,0,1,0,0
166839964,4,4,4,4,4,5,20,4,2,0,1,0,0
166839971,2,3,2,2,3,10,25,3,3,0,1,0,0
166839973,5,5,5,5,5,6,3,4,3,0,1,0,0
166839975,4,3,3,4,3,4,9,1,3,0,1,0,0
166839977,4,3,3,4,3,11,42,3,4,0,1,0,0
166839978,4,4,4,3,3,3,18,3,2,0,1,0,0
166839982,3,4,4,4,3,8,64,4,2,0,1,0,0
166839987,1,2,2,2,3,5,34,4,3,1,0,0,0
166840015,3,2,2,2,1,4,50,3,3,0,1,0,0
166840028,4,4,4,4,3,3,50,3,3,0,1,0,0
166840080,4,5,4,4,4,6,25,4,2,1,0,0,0
166840527,5,4,5,5,2,4,35,4,3,0,1,0,0
166840589,4,4,4,4,4,3,30,4,3,0,1,0,0
166841017,3,3,4,3,2,10,38,3,3,0,1,0,0
166841032,3,1,4,2,3,5,60,3,2,0,1,0,0
166841288,4,1,4,5,3,3,24,3,3,0,1,0,0
166841469,4,5,4,4,2,4,20,4,3,0,1,0,0
166841706,4,4,5,3,3,7,45,4,2,0,1,0,0
166842057,4,2,4,3,2,3,10,3,4,0,1,0,0
166843609,2,5,5,5,2,5,10,2,4,0,1,0,0
166843964,2,2,4,2,2,0,0,2,2,0,1,0,0
166844353,3,2,2,2,1,2,40,3,2,0,1,0,0
166844355,2,2,3,3,2,4,30,3,3,0,1,0,0
166844788,3,4,5,3,3,5,20,4,2,0,1,0,0
166845048,3,3,3,3,2,4,22,3,3,0,1,0,0
166845182,3,3,3,3,3,4,40,3,2,0,1,0,0
166845949,4,2,4,2,3,9,43,4,2,0,1,0,0
166846076,4,3,4,3,4,4,30,5,2,0,1,0,0
166846238,4,5,5,4,5,2,20,4,2,0,1,0,0
166846557,4,4,4,4,2,4,26,3,3,0,1,0,0
166846599,4,4,5,3,4,5,35,4,3,0,1,0,0
166846885,4,4,5,2,2,7,50,3,4,0,1,0,0
166847264,4,4,5,4,4,5,35,4,2,1,0,0,0
166847425,3,3,4,4,4,2,16,3,3,0,1,0,0
166847459,3,3,2,2,2,8,25,2,4,0,1,0,0
166847858,4,3,3,4,4,5,15,4,3,0,1,0,0
166848476,3,4,4,4,3,2,40,3,3,0,1,0,0
166848865,4,2,3,4,4,7,30,4,2,1,0,0,0
166849168,4,2,4,3,2,3,2,3,2,0,1,0,0
166849510,3,2,3,2,2,5,50,2,3,0,1,0,0
166849673,5,4,5,4,4,4,35,4,3,0,1,0,0
166851127,5,3,4,1,2,4,60,5,2,1,0,0,0
166851143,3,3,5,4,3,4,35,3,2,0,1,0,0
166851682,1,1,2,1,3,5,40,3,2,0,1,0,0
166851693,2,1,2,2,2,8,68,4,2,0,1,0,0
166852196,2,4,4,2,4,3,10,3,2,0,1,0,0
166853130,2,4,4,4,4,4,24,3,3,0,1,0,0
166853709,2,3,3,3,2,3,15,3,3,0,1,0,0
166853909,4,5,5,5,3,7,50,4,2,1,0,0,0
166853964,3,4,2,4,4,9,75,4,1,0,1,0,0
166854131,2,2,4,3,3,5,13,3,3,0,1,0,0
166854195,3,3,3,3,3,5,45,4,2,0,1,0,0
166854349,2,3,4,2,4,2,20,4,2,1,0,0,0
166854396,4,4,4,4,4,2,5,3,2,0,1,0,0
166854449,5,4,4,4,4,3,30,4,3,0,1,0,0
166854825,3,3,3,4,3,5,40,3,3,0,1,0,0
166855196,2,4,4,4,2,3,13,3,2,0,1,0,0
166855449,3,2,5,3,2,5,14,3,2,0,1,0,0
166855797,5,4,4,5,4,5,43,4,4,1,0,0,0
166856125,4,4,3,4,2,5,19,3,2,0,1,0,0
166856753,3,4,4,3,3,10,14,4,2,0,1,0,0
166856764,5,4,5,4,3,4,20,3,3,0,1,0,0
166856828,3,2,3,4,3,2,40,4,3,0,1,0,0
166857140,3,2,4,2,2,2,14,3,3,0,1,0,0
166857153,3,2,3,2,2,4,44,3,3,0,1,0,0
166857155,4,3,4,2,4,4,10,3,3,0,1,0,0
166857223,1,1,2,2,2,9,50,5,2,0,1,0,0
166857335,4,3,3,2,2,9,30,3,2,1,0,0,0
166857476,2,2,4,3,4,2,8,5,2,0,1,0,0
166857478,3,4,4,4,4,5,10,1,3,1,0,0,0
166857633,4,5,5,3,5,5,35,3,3,0,1,0,0
166858042,4,4,4,3,4,10,50,3,3,0,1,0,0
166858366,5,3,4,4,4,4,55,3,2,0,1,0,0
166859737,5,5,5,5,5,4,41,4,3,0,1,0,0
166859844,4,5,5,4,4,1,25,3,3,0,1,0,0
166859903,4,4,3,2,3,2,24,4,2,0,1,0,0
166860023,3,5,2,3,4,11,38,2,3,1,0,0,0
166860115,1,2,1,3,2,3,40,3,3,0,1,0,0
166860822,4,3,4,2,4,4,6,3,3,1,0,0,0
166861013,4,3,4,3,2,5,28,3,2,0,1,0,0
166902671,4,3,5,4,3,8,36,3,3,0,1,0,0
166907938,2,1,2,2,4,2,5,3,3,0,1,0,0
166920488,2,2,4,2,2,5,10,4,2,0,1,0,0
166924748,3,3,3,3,3,10,27,3,2,0,0,1,0
166925823,4,4,3,5,4,5,57,3,2,0,1,0,0
166926579,2,2,3,2,2,2,40,1,3,0,1,0,0
166927105,4,4,4,3,4,3,16,5,3,0,1,0,0
166929097,2,5,3,3,3,6,40,4,2,0,1,0,0
166932287,3,4,4,2,2,2,20,3,3,0,1,0,0
166937700,3,1,4,4,1,5,10,1,3,1,0,0,0
166941397,4,3,4,2,4,7,59,4,2,0,1,0,0
166941617,2,4,4,2,4,7,25,4,3,0,1,0,1
166957050,3,3,3,3,3,10,46,3,2,0,1,0,0
166979631,3,4,4,3,4,1,20,3,3,0,1,0,0
166980301,2,2,4,2,2,2,8,4,2,0,1,0,0
166988774,4,4,4,4,3,5,29,3,2,0,1,0,0
166989487,3,3,3,3,2,7,40,3,3,0,1,0,0
166992105,4,3,4,4,3,9,33,2,2,0,1,0,0
166994864,3,3,3,3,3,19,53,5,2,0,1,0,0
167037822,1,2,2,2,2,4,14,2,3,1,0,0,0
167123669,3,2,3,1,2,8,50,4,2,0,1,0,0
167133364,2,1,2,2,3,10,20,2,3,0,1,0,0
